Project,Project description,Output type,Output description,Landing page,Output Media,Other Link,RAM,Active RAM engagement?,Date,Notes,Turing Programme / GC,Contact
AB Street,"An open source urban modelling platform that invites users to add different street interventions to view the impact on traffic in the surrounding neighbourhood and city at large. A/B street can help residents and planners have a shared canvas for discussing potential street-level changes, such as planting street trees or installing a model filter to encourage cycling and walking.",Stakeholder engagement,We worked with local councils to use the tool in public consultation and co-creation session.,https://a-b-street.github.io/docs/software/ltn/index.html,https://www.turing.ac.uk/blog/street-smart-putting-neighbourhood-design-hands-bristol-residents,,,Y,,,,
AI Standards Hub,,Stakeholder engagement,We facilitated external stakeholder workshops with organisations like Department for Transport,https://aistandardshub.org/,,,SL,Y,,,,
clim-recal,"The aim of clim-recal is to provide non-climate scientists with an extensive guide to the application, disadvantages/advantages and use of bias adjustment methods, provide researchers with a collated set of resources for how to technically apply the methods, with a framework for open additions, and create accessible information on methods for non quantitative researchers and lay-audience stakeholders",, ,,,,"JD, SA",Y,,,,
Colouring Cities,,, ,https://colouringcities.org/,,https://github.com/orgs/colouring-cities/repositories,,Y,,,,
Data Safe Haven,"The Turing Data Safe Haven is an open-source framework for creating secure environments to analyse sensitive data. It provides a set of scripts and templates that will allow you to deploy, administer and use your own secure environment.",,,,,,HS,Y,,,,
DfT Short Straits,"DfT Short Straits is a collaboration between TRIC, DCE, and UA with Department for Transport for creating a Digital Twin of the Short Straits around Port of Dover, including road, port, and maritime systems in the area",,We co-created resources for stakeholder engagement,,https://miro.com/app/board/uXjVMAOaBQA=/,,,Y,,,,
London Data Week,"London Data Week is a free, public festival of events across the city, run by different organisations with different communities, to bring Londoners into the conversations about data and AI",,"with Turing and LOTI we convened the London data community, in partnership with organisations like Open Data Institute, Royal Statistical Society, GLA, Better Images of AI, and the Francis Crick Institute",https://www.londondataweek.org/,,,JD,N,,,,
Scivision,,,,https://sci.vision/,,https://github.com/alan-turing-institute/scivision,AC,Y,,,,
The Turing Way Practitioner’s Hub,,,,,,,CR,Y,,,,
PitchFest at AI UK,,,We contribute to Institute-wide flagship events,,,,,N,,,,
Other,,Conference Talks / Workshops,We organize collaborationwWorkshops: Pathways to Sustainability for Research Projects and Outputs,,https://miro.com/app/board/uXjVMQDvxC0=/,,"HS, CR, ALS",N,,,,
Other,,Scoping,We have been assessing RAM potential across Turing projects ,,,,,,,,,
The Trustworthy and Ethical Assurance platform,"The platform brings together elements of Ethics and Assurance methodology like SAFED principles and argument patterns in a usable and accessible manner, and helps project teams to provide trustworthy and justifiable assurance about the processes they undertook when designing, developing, and deploying their technology or system.",RAM assessment,,https://alan-turing-institute.github.io/AssurancePlatform/,https://user-images.githubusercontent.com/5104098/262439184-1c18c514-02c2-434e-abc1-dfcdff3769ba.png, ,"SA, KW",Y,28-9,https://hackmd.io/qbm6EGeNTmqL_t2HoYBJDA?both,,
